trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.90830897983614,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.47633278329138,"{0: 11, 1: 1, 2: 11, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.77617078109634,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.49300649402537,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.13241834773656,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-256.2579430191437,"{0: 19, 1: 2, 2: 10, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,17,-1.8361932997337655,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.34883098160945,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.6269007430091,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.89790423219168,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.63504815503074,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.83700573886782,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.08940750085108,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-58.12082331091057,"{0: 21, 1: 5, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.8732535005222,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.53329526762246,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.59440598245146,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.57982478020725,"{0: 19, 1: 1, 2: 7, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,2,-93.67683243414751,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.9668533968584,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.103860103924944,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.49287944875672,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-286.05411332019594,"{0: 15, 1: 2, 2: 5, 3: 4, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-202.23822017375872,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.27663276029972,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.94188339140884,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.25526639988118,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.11115616646974,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-180.0994820790563,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.1807746523205,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
